Gene	Type
1	PYCR1	Up
2	TMEM177	Up
3	UBE2T	Up
4	ALDH18A1	Up
5	GOLM1	Up
6	PPP1R14B	Up
7	NME1	Up
8	ETV4	Up
9	EFNA4	Up
10	CTHRC1	Up
11	B3GNT3	Up
12	FAM83A	Up
13	TOP2A	Up
14	PLPP2	Up
15	TMEM184A	Up
16	SPAG4	Up
17	ADM2	Up
18	PAICS	Up
19	TEDC2	Up
20	CDC20	Up
21	RCC1	Up
22	IQGAP3	Up
23	OCIAD2	Up
24	SFXN1	Up
25	SAPCD2	Up
26	RMI2	Up
27	SRPK1	Up
28	KIF20A	Up
29	FUT2	Up
30	COL10A1	Up
31	CDCA8	Up
32	CCNB1	Up
33	LGR4	Up
34	PLK1	Up
35	UBE2C	Up
36	SPP1	Up
37	ATIC	Up
38	FAM136A	Up
39	EFNA3	Up
40	SFXN4	Up
41	ZWINT	Up
42	EZH2	Up
43	SPAG5	Up
44	BIRC5	Up
45	CBLC	Up
46	CCNB2	Up
47	PDIA4	Up
48	KIF2C	Up
49	PAFAH1B3	Up
50	TPX2	Up
51	NEK2	Up
52	HMGB3	Up
53	EPN3	Up
54	MSTO1	Up
55	CNOT11	Up
56	GPT2	Up
57	GGCT	Up
58	PCLAF	Up
59	FLAD1	Up
60	NUSAP1	Up
61	RECQL4	Up
62	SPTBN2	Up
63	CEP55	Up
64	RRM2	Up
65	UHRF1	Up
66	PLEKHN1	Up
67	SLC25A10	Up
68	MND1	Up
69	KIF4A	Up
70	KAT2A	Up
71	AURKB	Up
72	MANF	Up
73	MYBL2	Up
74	KDELR3	Up
75	KIF26B	Up
76	PPAT	Up
77	HJURP	Up
78	ANLN	Up
79	BUB1B	Up
80	DLGAP5	Up
81	GINS1	Up
82	SLC50A1	Up
83	TMPRSS4	Up
84	FKBP11	Up
85	ORC6	Up
86	CDC6	Up
87	MYO19	Up
88	NUF2	Up
89	MDK	Up
90	FERMT1	Up
91	IGSF9	Up
92	PSAT1	Up
93	PLEK2	Up
94	MELK	Up
95	H2BC5	Up
96	MMP11	Up
97	STX1A	Up
98	NPM3	Up
99	E2F8	Up
100	ASF1B	Up
101	CCT3	Up
102	KIF11	Up
103	C11orf80	Up
104	NARF	Up
105	CENPF	Up
106	MARCKSL1	Up
107	MEX3A	Up
108	PSMG3	Up
109	FOXM1	Up
110	POLR2H	Up
111	TK1	Up
112	NLN	Up
113	TROAP	Up
114	SLC2A1	Up
115	SKA3	Up
116	TFAP4	Up
117	CDC25C	Up
118	HMMR	Up
119	SLC35F2	Up
120	UQCC2	Up
121	GINS2	Up
122	CCNA2	Up
123	ARHGEF39	Up
124	CDC45	Up
125	GTSE1	Up
126	TMEM182	Up
127	STIL	Up
128	SPC24	Up
129	CDCA3	Up
130	PRC1	Up
131	SAMD10	Up
132	CDCA5	Up
133	CRABP2	Up
134	PKMYT1	Up
135	BZW2	Up
136	GNL3	Up
137	MKI67	Up
138	NCAPH	Up
139	TNFRSF21	Up
140	P3H4	Up
141	TRAF4	Up
142	CBX8	Up
143	MCM4	Up
144	EXO1	Up
145	KIF18B	Up
146	EPCAM	Up
147	CDT1	Up
148	TUBB3	Up
149	RHBDL2	Up
150	NDC80	Up
151	SNRPE	Up
152	TRAP1	Up
153	OTX1	Up
154	CENPA	Up
155	DBNDD1	Up
156	DEPDC1B	Up
157	ECE2	Up
158	C1orf112	Up
159	GJB2	Up
160	DCAF13	Up
161	SERINC2	Up
162	ERO1A	Up
163	RASAL1	Up
164	JPT1	Up
165	CDCA7	Up
166	CHAF1B	Up
167	CENPU	Up
168	E2F3	Up
169	UNC5CL	Up
170	ARHGEF16	Up
171	PHKA1	Up
172	RAD54L	Up
173	NECTIN4	Up
174	HSPE1	Up
175	HS6ST2	Up
176	MYO7A	Up
177	ASPM	Up
178	DONSON	Up
179	XRCC2	Up
180	CCNF	Up
181	AURKA	Up
182	PDCD2L	Up
183	NCAPG	Up
184	C1QTNF6	Up
185	SOX4	Up
186	KIFC1	Up
187	B4GALT2	Up
188	TFB2M	Up
189	TONSL	Up
190	SLC25A39	Up
191	GALNT7	Up
192	PTTG1	Up
193	RCCD1	Up
194	HROB	Up
195	PBK	Up
196	SLC39A11	Up
197	TRAIP	Up
198	KHDC4	Up
199	CDKN3	Up
200	ERCC6L	Up
201	DKC1	Up
202	GAPDH	Up
203	JPT2	Up
204	CCNE1	Up
205	KNTC1	Up
206	FAM111B	Up
207	MRM1	Up
208	RPP40	Up
209	SPATS2	Up
210	POLE2	Up
211	CCDC167	Up
212	HMGA1	Up
213	AGMAT	Up
214	CKAP2L	Up
215	FANCI	Up
216	PERM1	Up
217	CSTF2	Up
218	PHLDA2	Up
219	KPNA2	Up
220	EPHA10	Up
221	TLCD1	Up
222	GPRIN1	Up
223	ECT2	Up
224	KIF14	Up
225	DEPDC1	Up
226	SIX4	Up
227	SGO1	Up
228	METTL1	Up
229	ORC1	Up
230	TXNDC17	Up
231	DNA2	Up
232	COL1A1	Up
233	BUB1	Up
234	TTK	Up
235	LMNB1	Up
236	PRDX4	Up
237	DECR2	Up
238	FRMD5	Up
239	FANCA	Up
240	SHMT2	Up
241	PAK1	Up
242	SHCBP1	Up
243	EME1	Up
244	HSPD1	Up
245	MCM10	Up
246	DUS1L	Up
247	TIMELESS	Up
248	PROM2	Up
249	MAD2L1	Up
250	THBS2	Up
251	SYNJ2	Up
252	CDCA2	Up
