ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032103	GO:0032103	positive regulation of response to external stimulus	71/1389	315/17913	1.28900623832958e-16	5.92231682880525e-13	3.99227374916869e-13	FABP4/AGER/S1PR1/FGF10/VEGFD/FPR2/SEMA5A/CXCR2/SLIT2/THBD/CPB2/SASH1/FGF2/DAPK2/LILRA5/IL1RL1/IL17D/EDN3/LDLR/AGTR1/CDH13/C5AR1/GAS6/IL33/PPM1F/PDE2A/BMPR2/HYAL2/HLA-E/LPL/SNCA/TLR4/PTGER4/LRRK2/S100A12/BTK/EDN1/PDGFB/C1QA/LY86/IL6/NCKAP1L/ETS1/CCL24/CNR1/SCARF1/FCER1G/CXCL12/P2RY12/PRKD1/FKBP1B/RARRES2/CMKLR1/IL1B/LRP1/PTN/AIF1/TGM2/UNC13B/CEBPA/NUPR1/FGF18/S100A8/PGC/ITGAM/BMP6/CX3CL1/CD74/KDR/CCL21/APOH	71
GO:0043062	GO:0043062	extracellular structure organization	80/1389	387/17913	3.00370083847589e-16	5.92231682880525e-13	3.99227374916869e-13	WNT3A/SCUBE1/RAMP2/RGCC/PECAM1/JAM2/GPIHBP1/SPOCK2/FOXF1/TNR/CD36/TNXB/ABI3BP/CPB2/GPM6B/FGF2/HPSE2/ADTRP/FGFR4/ITGA8/VWF/MFAP4/CD34/AGTR1/GAS6/ENG/FBLN5/ADAMTSL4/ICAM2/A2M/LPL/HYAL1/IHH/ABCG1/NPNT/TLL1/MMP19/PDGFB/MYH11/PHLDB2/LAMC3/APOA1/MATN3/NDNF/CCN2/JAM3/DCN/IL6/TPSAB1/APBB2/ETS1/PDPN/HAS1/COL13A1/CCN1/LAMB2/ITGAL/FOXF2/THSD4/FBLN1/DDR2/COL4A3/CD44/APOC1/CTSG/LCP1/OLFML2A/CTSS/PTX3/COL4A4/LAMA4/COL4A5/TGFB2/LAMA3/LRP1/ITGAM/VTN/KDR/ICAM1/ELN	80
GO:0045785	GO:0045785	positive regulation of cell adhesion	80/1389	388/17913	3.50630374112225e-16	5.92231682880525e-13	3.99227374916869e-13	WNT3A/MYOC/TEK/AGER/EMP2/SPOCK2/CAV1/FOXF1/CD36/PRKCE/ABI3BP/ANGPT1/VSIR/TGFBR2/CASS4/MYADM/CDH13/PLPP3/PPM1F/HLA-E/HYAL1/PRKCQ/IHH/IL7R/ZBTB16/HLX/NEDD9/NPNT/CD83/UTRN/NR4A3/SMAD7/APOA1/NDNF/PREX1/PIK3R1/IL6/NCKAP1L/MAP3K8/ETS1/PDPN/PODXL/CCN1/CXCL12/EPB41L5/CD44/DOCK8/EGR3/EFNB2/TFRC/ALOX15/EFNB1/CITED2/PDCD1LG2/P2RY12/PRKCZ/PTAFR/TGFB2/HLA-DPA1/CD4/IL1B/SASH3/PTN/HLA-DPB1/UNC13D/AIF1/TGM2/FSTL3/PTPRC/VTN/CX3CL1/CD74/CD274/CCL2/KDR/FOXA2/EDIL3/ICAM1/CCL21/ANXA1	80
GO:0031589	GO:0031589	cell-substrate adhesion	71/1389	322/17913	4.40239124980877e-16	5.92231682880525e-13	3.99227374916869e-13	MYOC/FAM107A/TEK/ACVRL1/PECAM1/ARHGAP6/EMP2/SPOCK2/FOXF1/ACTN2/LYVE1/CD36/SMAD6/PRKCE/RADIL/CORO2B/ABI3BP/GPM6B/ANGPT1/PEAK1/ITGA8/VWF/CASS4/CD34/DLC1/MYADM/CDH13/GAS6/PPM1F/FERMT2/FBLN5/FZD4/SORBS1/LIMCH1/NEDD9/PTPRO/NPNT/UTRN/BST1/SORBS3/PHLDB2/APOA1/NDNF/CCN2/JAM3/PREX1/PIK3R1/PDPN/COL13A1/CCN1/ECM2/ITGAL/EPB41L5/FBLN1/SGCE/CD44/SIGLEC1/ALOX15/AXL/FERMT3/PRKCZ/LRP1/PTN/UNC13D/ID1/VTN/CX3CL1/KDR/SEMA3E/EDIL3/CCL21	71
GO:0072001	GO:0072001	renal system development	66/1389	291/17913	1.12043250423653e-15	1.20580946105935e-12	8.12844296757701e-13	TEK/PECAM1/FGF10/FOXF1/TCF21/SOX17/SMAD6/CAT/MME/CXCR2/SLIT2/KANK2/ANGPT1/FGF2/WFS1/BMPER/ITGA8/ADAMTS1/CD34/AGTR2/AGTR1/ACE/HYAL2/GPC3/RBP4/FGFR2/GPR4/MYOCD/TNS2/LRRK2/ZBTB16/PTPRO/NPNT/ROBO2/CA2/PLCE1/PDGFB/BMP2/KCNJ8/SMAD7/IRX1/PCSK9/FRAS1/DCN/WWTR1/FAT4/PODXL/LAMB2/KLF15/ID3/EGR1/COL4A3/GCNT4/ID2/CDKN1C/EFNB2/COL4A4/ALDH1A2/WNT11/CTSH/TGFB2/RGN/IRX2/FSTL3/BMP6/HPGD	66
GO:0030198	GO:0030198	extracellular matrix organization	71/1389	334/17913	3.27480723889162e-15	2.9369562920793e-12	1.979822060565e-12	WNT3A/SCUBE1/RAMP2/RGCC/PECAM1/JAM2/SPOCK2/FOXF1/TNR/TNXB/ABI3BP/CPB2/GPM6B/FGF2/HPSE2/ADTRP/FGFR4/ITGA8/VWF/MFAP4/GAS6/ENG/FBLN5/ADAMTSL4/ICAM2/A2M/IHH/NPNT/TLL1/MMP19/PDGFB/MYH11/PHLDB2/LAMC3/MATN3/NDNF/CCN2/JAM3/DCN/IL6/TPSAB1/APBB2/ETS1/PDPN/HAS1/COL13A1/CCN1/LAMB2/ITGAL/FOXF2/THSD4/FBLN1/DDR2/COL4A3/CD44/CTSG/LCP1/OLFML2A/CTSS/PTX3/COL4A4/LAMA4/COL4A5/TGFB2/LAMA3/LRP1/ITGAM/VTN/KDR/ICAM1/ELN	71
GO:0001667	GO:0001667	ameboidal-type cell migration	85/1389	446/17913	5.3034156581941e-15	4.07681137953463e-12	2.74820606889276e-12	ANGPT4/TEK/EDNRB/RGCC/ACVRL1/PECAM1/EMP2/FGF10/SOX17/STARD13/CLEC14A/PRKCE/MMRN2/GLIPR2/SEMA5A/SLIT2/RHOJ/HBEGF/KANK2/SASH1/TNS1/ANGPT1/FGF2/JCAD/ADTRP/BMPER/EDN3/CCBE1/TGFBR2/WNT7A/AMOTL1/AGTR2/CDH13/KLF4/PPM1F/BMPR2/ANXA3/HYAL2/ERBB4/GPC3/GATA2/HYAL1/ZEB2/TNFSF12/PTPRM/SOX18/MAP3K3/EDN1/CYGB/PDGFB/FLT4/PPARG/APOA1/DCN/DAB2IP/MCC/ATOH8/ETS1/HAS1/VASH1/EPB41L5/DDR2/NR4A1/AKT3/EGR3/EFNB2/EFNB1/PTPRG/AKAP12/MEOX2/P2RY12/PRKD1/JUN/WNT11/CTSH/TGFB2/FGF7/PTN/ENPP2/ID1/FGF18/FOLR1/KDR/ANXA1/APOH	85
GO:0001655	GO:0001655	urogenital system development	69/1389	324/17913	7.34716682538503e-15	4.75307353542534e-12	3.2040789528606e-12	TEK/PECAM1/FGF10/FOXF1/TCF21/SOX17/SMAD6/CAT/MME/CXCR2/SLIT2/KANK2/ANGPT1/FGF2/WFS1/BMPER/ITGA8/ADAMTS1/CD34/AGTR2/AGTR1/ACE/HYAL2/GPC3/RBP4/GATA2/ID4/FGFR2/GPR4/MYOCD/TNS2/LRRK2/ZBTB16/PTPRO/NPNT/ROBO2/CA2/PLCE1/PDGFB/BMP2/KCNJ8/SMAD7/IRX1/PCSK9/FRAS1/DCN/WWTR1/FAT4/PODXL/LAMB2/KLF15/ID3/EGR1/COL4A3/GCNT4/ID2/CDKN1C/EFNB2/COL4A4/ALDH1A2/WNT11/CTSH/TGFB2/RGN/IRX2/FSTL3/BMP6/ALOX15B/HPGD	69
GO:1901342	GO:1901342	regulation of vasculature development	82/1389	425/17913	7.94976060561755e-15	4.75307353542534e-12	3.2040789528606e-12	ANGPT4/TEK/RAMP2/RGCC/ACVRL1/ECSCR/EMP2/TMEM100/CDH5/STARD13/SEMA6A/NPR1/MMRN2/SEMA5A/CXCR2/RHOJ/TIE1/HSPB6/SASH1/FGF2/JCAD/BMPER/CCBE1/TGFBR2/GPER1/RECK/CD34/AGTR1/C5AR1/KLF4/ENG/ANXA3/GATA6/GAB1/GATA2/KLF2/HYAL1/TNFSF12/GPR4/MYOCD/RRAS/HOXA5/PTPRM/PF4/MAP3K3/PDGFB/PPARG/TSPAN12/DCN/AQP1/IL6/DAB2IP/ETS1/CCL24/IL1A/VASH1/C6/CX3CR1/PTGIS/EGR1/COL4A3/AKT3/CYBB/PPP1R16B/EFNB2/MEOX2/PRKD1/PDE3B/APLNR/CTSH/TGFB2/IL1B/PTN/HEY1/ENPP2/ID1/FGF18/CX3CL1/KDR/SEMA3E/ANXA1/APOH	82
GO:0001822	GO:0001822	kidney development	62/1389	276/17913	1.3347107024416e-14	7.18207828983824e-12	4.84148745327763e-12	TEK/PECAM1/FGF10/TCF21/SMAD6/CAT/MME/CXCR2/SLIT2/KANK2/ANGPT1/FGF2/WFS1/BMPER/ITGA8/ADAMTS1/CD34/AGTR2/AGTR1/ACE/HYAL2/GPC3/FGFR2/GPR4/TNS2/LRRK2/ZBTB16/PTPRO/NPNT/ROBO2/CA2/PLCE1/PDGFB/BMP2/KCNJ8/SMAD7/IRX1/PCSK9/FRAS1/DCN/WWTR1/FAT4/PODXL/LAMB2/KLF15/ID3/EGR1/COL4A3/GCNT4/ID2/CDKN1C/EFNB2/COL4A4/ALDH1A2/WNT11/CTSH/TGFB2/RGN/IRX2/FSTL3/BMP6/HPGD	62
GO:0070372	GO:0070372	regulation of ERK1 and ERK2 cascade	61/1389	271/17913	1.98279192060784e-14	9.69945756799162e-12	6.5384698166647e-12	TEK/AGER/ADRA1A/RAMP3/ALKAL2/FGF10/SEMA6A/CD36/FPR2/GLIPR2/ANGPT1/FGF2/FFAR4/P2RY1/FGFR4/BMPER/MARCO/GPER1/C5AR1/GAS6/KLF4/NDRG4/ERBB4/TLR4/FGFR2/TIMP3/RRAS/SCIMP/NPNT/NDRG2/ARRB1/PDGFB/BMP2/PLA2G5/FLT4/DUSP1/CCN2/SIRPA/DAB2IP/TNFAIP8L3/CCN1/ATF3/FBLN1/CD44/ALOX15/SPRY4/CAMK2N1/AKAP12/PRKCZ/JUN/CD4/IL1B/LRP1/FGF18/PTPRC/CX3CL1/CD74/KDR/ROS1/ICAM1/CCL21	61
