ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007059	GO:0007059	chromosome segregation	60/899	275/17913	1.52390867627031e-22	7.39552880593983e-19	6.74048869230301e-19	TOP2A/CDC20/RCC1/RMI2/SRPK1/CDCA8/CCNB1/PLK1/ZWINT/SPAG5/BIRC5/KIF2C/NEK2/NUSAP1/KIF4A/AURKB/HJURP/BUB1B/DLGAP5/CDC6/NUF2/CENPF/SKA3/PRC1/CDCA5/MKI67/NCAPH/P3H4/CDT1/NDC80/NCAPG/KIFC1/ECT2/KIF14/SGO1/BUB1/TTK/MAD2L1/CDCA2/SPC25/FANCD2/FEN1/SKA1/KIF22/ESPL1/KIF23/BRIP1/TACC3/TRIP13/KNL1/FAM83D/CENPE/DDX11/HASPIN/DSCC1/SGO2/RACGAP1/CENPW/SYCE3/HORMAD1	60
GO:0000819	GO:0000819	sister chromatid segregation	41/899	157/17913	8.60348032501439e-19	1.70303707022181e-15	1.55219490257183e-15	CDC20/RMI2/CDCA8/CCNB1/PLK1/ZWINT/SPAG5/KIF2C/NEK2/NUSAP1/KIF4A/AURKB/BUB1B/DLGAP5/CDC6/CENPF/PRC1/CDCA5/NCAPH/CDT1/NDC80/NCAPG/KIFC1/KIF14/SGO1/BUB1/TTK/MAD2L1/FEN1/KIF22/ESPL1/KIF23/TACC3/TRIP13/CENPE/DDX11/HASPIN/DSCC1/SGO2/RACGAP1/HORMAD1	41
GO:0071103	GO:0071103	DNA conformation change	55/899	279/17913	1.31394295688436e-18	1.70303707022181e-15	1.55219490257183e-15	TOP2A/SRPK1/CCNB1/HMGB3/NUSAP1/RECQL4/HJURP/GINS1/ASF1B/GINS2/CDC45/CDCA5/NCAPH/MCM4/CENPA/CHAF1B/CENPU/RAD54L/NCAPG/HMGA1/DNA2/CDK1/HELLS/RAD51/BLM/BRIP1/MCM2/CENPL/CENPI/KNL1/TWNK/CENPM/MIS18A/CENPK/OIP5/NCAPG2/MCM6/H2AX/GINS4/CENPH/DDX11/H1-0/MCM7/H3C10/CENPW/H3C4/H4C8/H2BC8/CDKN2A/H1-4/H2BC4/H2BC9/H1-2/H4C5/ERN2	55
GO:0000280	GO:0000280	nuclear division	63/899	357/17913	1.40369838880842e-18	1.70303707022181e-15	1.55219490257183e-15	TOP2A/CDC20/RCC1/CDCA8/CCNB1/PLK1/UBE2C/ZWINT/SPAG5/KIF2C/TPX2/NEK2/NUSAP1/KIF4A/AURKB/MYBL2/ANLN/BUB1B/DLGAP5/CDC6/KIF11/C11orf80/CENPF/CDC25C/PRC1/CDCA5/PKMYT1/MKI67/NCAPH/P3H4/CDT1/NDC80/ASPM/AURKA/NCAPG/KIFC1/KNTC1/KIF14/SGO1/TTK/FANCA/MAD2L1/FANCD2/CHEK1/KIF22/ESPL1/KIF23/BRIP1/TACC3/TRIP13/TDRKH/FIGNL1/CHEK2/CENPE/HASPIN/DSCC1/UBE2S/SGO2/RACGAP1/SYCE3/EGF/HORMAD1/BRDT	63
GO:0140014	GO:0140014	mitotic nuclear division	50/899	237/17913	2.53098478367822e-18	2.31597422833691e-15	2.11084271421295e-15	CDC20/RCC1/CDCA8/CCNB1/PLK1/UBE2C/ZWINT/SPAG5/KIF2C/TPX2/NEK2/NUSAP1/KIF4A/AURKB/MYBL2/ANLN/BUB1B/DLGAP5/CDC6/KIF11/CENPF/CDC25C/PRC1/CDCA5/PKMYT1/MKI67/NCAPH/CDT1/NDC80/AURKA/NCAPG/KIFC1/KNTC1/KIF14/SGO1/TTK/MAD2L1/CHEK1/KIF22/ESPL1/KIF23/TACC3/TRIP13/CHEK2/CENPE/HASPIN/DSCC1/UBE2S/RACGAP1/EGF	50
GO:0098813	GO:0098813	nuclear chromosome segregation	48/899	220/17913	2.86335161137883e-18	2.31597422833691e-15	2.11084271421295e-15	CDC20/RMI2/CDCA8/CCNB1/PLK1/ZWINT/SPAG5/KIF2C/NEK2/NUSAP1/KIF4A/AURKB/BUB1B/DLGAP5/CDC6/CENPF/PRC1/CDCA5/NCAPH/P3H4/CDT1/NDC80/NCAPG/KIFC1/ECT2/KIF14/SGO1/BUB1/TTK/MAD2L1/FANCD2/FEN1/KIF22/ESPL1/KIF23/BRIP1/TACC3/TRIP13/KNL1/FAM83D/CENPE/DDX11/HASPIN/DSCC1/SGO2/RACGAP1/SYCE3/HORMAD1	48
GO:0006260	GO:0006260	DNA replication	52/899	260/17913	6.08504521510694e-18	4.21867491841628e-15	3.84501654043298e-15	RMI2/PCLAF/RECQL4/RRM2/GINS1/ORC6/CDC6/E2F8/GINS2/CCNA2/CDC45/MCM4/EXO1/CDT1/CHAF1B/DONSON/TONSL/CCNE1/POLE2/HMGA1/ORC1/DNA2/MCM10/TIMELESS/CDK1/RAD51/POLG2/FEN1/CHEK1/BLM/RFC4/BRIP1/MCM2/TWNK/DTL/CHTF18/ESCO2/MCM6/CHEK2/GMNN/TICRR/DBF4/GINS4/CLSPN/DDX11/RNASEH2A/CCNE2/DSCC1/MCIDAS/MCM7/E2F7/ACHE	52
GO:0048285	GO:0048285	organelle fission	65/899	395/17913	1.5811338521289e-17	9.59155323047691e-15	8.7420058508495e-15	TOP2A/CDC20/RCC1/CDCA8/CCNB1/PLK1/UBE2C/ZWINT/SPAG5/KIF2C/TPX2/NEK2/NUSAP1/KIF4A/AURKB/MYBL2/ANLN/BUB1B/DLGAP5/CDC6/MYO19/KIF11/C11orf80/CENPF/CDC25C/PRC1/CDCA5/PKMYT1/MKI67/NCAPH/P3H4/CDT1/NDC80/ASPM/AURKA/NCAPG/KIFC1/KNTC1/KIF14/SGO1/TTK/FANCA/MAD2L1/FANCD2/CHEK1/KIF22/ESPL1/KIF23/BRIP1/TACC3/TRIP13/TDRKH/FIGNL1/CHEK2/CENPE/MTFR1/HASPIN/DSCC1/UBE2S/SGO2/RACGAP1/SYCE3/EGF/HORMAD1/BRDT	65
GO:0000070	GO:0000070	mitotic sister chromatid segregation	35/899	132/17913	1.84719643467143e-16	9.96049366384497e-14	9.07826832571856e-14	CDC20/CDCA8/CCNB1/PLK1/ZWINT/SPAG5/KIF2C/NEK2/NUSAP1/KIF4A/AURKB/BUB1B/DLGAP5/CDC6/CENPF/PRC1/CDCA5/NCAPH/CDT1/NDC80/NCAPG/KIFC1/KIF14/SGO1/TTK/MAD2L1/KIF22/ESPL1/KIF23/TACC3/TRIP13/CENPE/HASPIN/DSCC1/RACGAP1	35
GO:0051983	GO:0051983	regulation of chromosome segregation	28/899	93/17913	5.55698686096008e-15	2.69680572362393e-12	2.45794303050045e-12	CDC20/RMI2/CCNB1/PLK1/SPAG5/KIF2C/NEK2/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDCA5/MKI67/CDT1/NDC80/ECT2/BUB1/TTK/MAD2L1/FEN1/ESPL1/TACC3/TRIP13/CENPE/DDX11/RACGAP1/HORMAD1	28
